,0
0,['TOMOUSDT']
1,[]
2,"['KSMUSDT', 'CHZUSDT']"
3,[]
4,['NEOUSDT']
5,['KLAYUSDT']
6,['XMRUSDT']
7,[]
8,[]
9,[]
10,['DUSKUSDT']
11,['ONEUSDT']
12,[]
13,['DOGEUSDT']
14,[]
15,"['XRPUSDT', 'TRXUSDT', 'IOSTUSDT', 'XEMUSDT', 'BTCDOMUSDT']"
16,"['BTCUSDT', 'XRPUSDT', 'TRXUSDT', 'CTKUSDT', 'BTCDOMUSDT', 'BNXUSDT']"
17,"['XRPUSDT', 'TRXUSDT', 'DASHUSDT', 'CTKUSDT', 'BTCDOMUSDT', 'BNXUSDT']"
18,"['BTCUSDT', 'XRPUSDT', 'TRXUSDT', 'XLMUSDT', 'EGLDUSDT', 'XEMUSDT', 'BTCDOMUSDT', 'BNXUSDT']"
19,['XMRUSDT']
20,"['NEARUSDT', 'AXSUSDT']"
21,"['ADAUSDT', 'XMRUSDT', 'ALGOUSDT', 'NEARUSDT', 'BTCDOMUSDT', 'BNXUSDT']"
22,"['ADAUSDT', 'NEARUSDT']"
23,"['ADAUSDT', 'NEARUSDT', 'COTIUSDT']"
24,['ADAUSDT']
25,"['BTCDOMUSDT', 'CTSIUSDT']"
26,"['XRPUSDT', 'ALGOUSDT', 'BTCDOMUSDT']"
27,"['TRXUSDT', 'ALGOUSDT', 'DOGEUSDT', 'BTCDOMUSDT']"
28,"['TRXUSDT', 'XMRUSDT', 'DODOBUSD']"
29,"['BTCDOMUSDT', 'DODOBUSD']"
30,"['MKRUSDT', 'BTCDOMUSDT', 'DODOBUSD']"
31,[]
32,"['DEFIUSDT', 'SFPUSDT']"
33,"['BTCDOMUSDT', '1000XECUSDT']"
34,['API3USDT']
35,"['TRXUSDT', 'OGNUSDT']"
36,"['IOSTUSDT', 'BTCDOMUSDT', 'GMTUSDT', 'BNXUSDT']"
37,"['BTCUSDT', 'XMRUSDT', 'DASHUSDT', 'HOTUSDT', 'BTCDOMUSDT', 'BNXUSDT']"
38,"['XMRUSDT', 'DASHUSDT', 'BALUSDT', 'HOTUSDT', 'BTCDOMUSDT']"
39,"['BALUSDT', 'BTCDOMUSDT']"
40,"['BTCUSDT', 'SFPUSDT', 'BTCDOMUSDT']"
41,[]
42,"['THETAUSDT', 'ATAUSDT']"
43,['THETAUSDT']
44,[]
45,[]
46,[]
47,[]
48,"['BCHUSDT', 'VETUSDT', 'CTKUSDT', '1INCHUSDT', 'BTCDOMUSDT', 'BNXUSDT']"
49,"['BCHUSDT', 'TRXUSDT', 'ETCUSDT', 'ADAUSDT', 'XMRUSDT', 'IOTAUSDT', 'DOTUSDT', 'CTKUSDT', 'BTCDOMUSDT', 'BNXUSDT']"
